,holes,nbr_start,allow_rule,blocks,capsamedir,capt_max,capt_min,capt_next,capt_on,capt_rturn,capttwoout,child_cvt,child_rule,child_type,crosscapt,evens,goal,gparam_one,grandslam,min_move,mlaps,mlength,move_one,moveunlock,multicapt,mustpass,mustshare,no_sides,nocaptfirst,nosinglecapt,oppsidecapt,pickextra,prescribed,round_fill,round_starter,rounds,skip_start,sow_direct,sow_own_store,sow_rule,sow_start,start_pattern,stores,udir_holes,udirect,visit_opp,xc_sown,xcpickown,
Ayoayo,6,4,,,,,,,,,,,,,x,,,,,1,1,1,,,,,x,,,,x,,,,,,x,1,,,,,x,,,,,1,
Bao_Kenyan,8,2,4,,,,,,,,,,,,x,,,,,1,1,1,,,,,,,,,x,,,,,,,1,,,,,x,,,,,,
Bao_Tanzanian,7,4,,x,x,,,,,,,4,2,1,x,,,,,1,1,1,,,x,,,,,,x,,2,6,2,x,,1,,,,,x,,,x,,1,
Bechi,4,4,,x,x,,,,,,,,,,,x,,,,2,,1,,x,x,x,,,,,,,,4,,x,,,,,x,,x,,,,,,
Bosh,5,4,,x,x,,,,,,x,,,,,,,,,1,2,1,,,,,,,,,,,,2,,x,,1,,,,,x,,,,,,
Congklak,7,7,,x,,,,,,,,,,,x,,,,,1,1,1,,,,,,,,,x,,,1,1,x,,-1,x,,,,x,,,,,2,
Cow,5,5,,,,,,,2 4,,,,,,,,,,,2,,2,,,x,x,,,,,x,,,,,,,,,,,,x,2,x,,,,
Dabuda,10,4,1,,,,,,,,,,,,x,,,,,1,1,1,,,,,,,,,x,,,,,,,1,,,,,x,,,,,1,
Dakon,7,7,,x,,,,,,,,,,,x,,,,,1,1,1,,,,,,,,,x,,,2,3,x,,1,x,,,,x,,,,,1,
Deka,6,3,,x,,,,,,,,,,,,,1,3,,1,1,1,,,,,,,,,,,,,,,,1,,6,,,,,,,,,
Endodoi,8,4,,,,,,,,,,,,,x,,,,,1,1,1,,,,,,,,,x,,,,,,,1,,,,,x,,,,,1,
Enkeshui,8,4,,,x,,,,,,,4,,5,x,,,,,1,1,1,,,x,,,,,,x,,,,,,,1,,,,5,x,,,,,1,
Erherhe,6,4,,x,,,,,1 3,,,,,,,,,,,1,,1,,,x,,x,,,,x,,,4,1,x,x,1,,,,,x,,,,,,
Eson_Xorgol,5,9,,,x,,,,,,x,,,,,,,,,1,,3,,,,,,x,,,,,,,,,x,-1,,,,,x,,,,,,
Gabata,6,4,,,,,,,,x,,4,,4,,,2,10,,1,1,3,,,,x,,,,,,,3,,,x,,1,,,,,x,,,,,,
Gamacha,12,4,1,,,,,,,,,,,,x,,1,,,1,1,1,,,,,,,,,x,,,,,,,1,,,,1,,,,,,,
Giuthi,8,6,,,x,,,,,,,,,,x,,,,,2,1,2,,,x,x,,,,,x,,,5,2,x,,1,,5,,,x,0 1 2 3 4 5 6 7,x,,x,1,
Goat,3,3,,,,,,,2,,,,,,,,,,,2,,2,,,x,x,,,,,x,,,,,,,,,,,,x,1,x,,,,
J_Odu,8,4,,,,3,,,,,,,,,x,,,,,1,1,1,,,,,,,,,x,,,,,,,1,,,,,x,,,,,1,
Kalah,6,4,,,,,,,,,,,,,x,,,,,1,,1,,,,,,,,,x,,,,,,,1,x,,,,x,,,,,1,
Lami,10,2,5,x,,,,,2,,,,,,x,,,,,1,1,1,,,,,,,,,x,2,5,1,1,x,,1,,4,,,x,,,,,,
Lamlameta,12,2,8,x,,,,,2,,,,,,x,,,,,1,1,1,,,,,,,,,x,2,5,1,1,x,,1,,4,,,x,,,,,,
Lam_Waladach,6,3,,,,,,,4,,,,,,,,2,10,,1,1,3,,,,x,,,x,,,,,,1,x,,1,,2,,,x,,,,,,
Longbeu-a-cha,5,5,,x,x,,,,4,,x,,,,,,,,,1,2,1,,,x,,,,,,,,,4,,x,,1,,2,,,x,,,,,,
Mbangbi,5,8,,,,,,,2 4,,,,,,,,,,,2,,2,,,x,x,,,,,x,,,,,,x,1,,,,,x,0 1 2 3 4,x,,,,
Mbothe,10,2,6,,,,,,2,x,,,,,x,,,,,1,1,1,,,,,,,,,x,,5,,,,,1,,4,,,x,,,,,,
Nambayi,8,3,,x,,,,,,,,,,,,,1,4,,1,1,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
NamNam,6,4,,,,,,,4,,,,,,,,2,10,,1,1,3,,,,,x,,,,,,,,,x,,1,,2,,,x,,,,,,
Ndoto,8,2,2,,,,,,,,,,,,x,,,,,1,1,1,,,,,,,,,x,,,,,,,1,,,,,x,,,,,,
NoCapt,6,4,,,,,,,,,,,,,,,,,,1,,1,,,,x,,,,,x,,,,,,x,1,x,,,,x,,,,,,
NoSides,5,2,,,,,,,2,,,,,,,,,,,1,,3,,,,,,x,,,,,,,,,x,1,,,,,x,,,,,,
NoSidesChild,7,2,,,,,,,2,,,4,,1,,,,,,1,,3,,,,,,x,,,,,,,,,x,1,,,,,x,0 1 2 3 4 5 6,x,,,,
NumNum,6,4,,,,,,,4,,,,,,,,2,10,,1,1,3,,,,x,,,,,,,,,1,x,,1,,2,,,x,,,,,,
Oware,6,4,,,,,,,1 2 3,,,,,,,,,,2,1,,1,,,x,,x,,,,x,,,,,,x,1,,,,,x,,,,,,
Pallam_Kuzhi,7,4,,x,x,,,,4,,x,,,,,,,,,1,2,1,,,,,,,,,,,,4,,x,,1,,2,,,x,,,,,,
Pandi,7,5,,x,x,,,,4,,x,,,,,,,,,1,2,1,,,,,,,,,,1,,1,,x,,1,,2,,,x,,,,,,
Qelat,6,4,,,,,,,4,,,4,,2,,,,,,1,,1,,,,x,,,,,,,,,,,x,,,,,,,,,,,,
Sadeqa,12,4,1,,,,,,,,,,,,x,,1,,,1,1,1,,,,,,,,,x,,,,,,,1,,,,3,,,,,,,
Songo,7,5,,,,,,,2 4,,,,,,,,,,,1,,1,,,x,,x,,,,x,,,,,,x,-1,,,,,x,,,,,,
Tapata,12,4,,,,,,,,,,,,,x,,1,,,1,1,1,,,,,,,,,x,,1,,,,,1,,,,4,,,,,,,
Toguz_Xorgol,9,9,,,,,4,,,,,3,,3,,x,,,,1,,1,x,,,,,,,,x,,,,,,,-1,,,x,,x,,,,,,
Vai_Lun_Thlan,6,5,,,,,,,1,,,,,,,,,,,1,,1,,,x,x,,,,,x,,,,,,x,-1,,,,,x,,,,,,
Valah,6,4,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,x,,,,x,,,,,,
Wari,6,4,,,,,,,2 3,,,,,,,,,,,1,,1,,,x,,x,,,,x,,,,,,x,1,,,,,x,,,,,,
Weg,6,4,,,,,,,,x,,4,,4,,,2,10,,1,1,3,,,,x,,,,,,,,,,x,,1,,,,,x,,,,,,
XCaptSowOwn,6,4,,,,,,,,,,,,,x,,,,3,1,,1,,,,,,,,,x,,,,,,,1,x,,,,x,,,,,1,
